Group	Sub-Group / Table of Content in section of journeybook	Question	Default	Option 1	Option 2	Option 3	Option 4	Option 5	Option 6	Option 7	Option 8	Option 9	Option 10	Option 11	Option 12	Option 13	Option 14	Option 15	Option 16	Option 17	Option 18	Option 19	Option 20	Option 21	Option 22	Option 23	Option 24	Option 25	Option 26	Option 27	Option 28	Option 29	
COMPATIBILITY	Adventure	CoffeeShops	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	FineDining	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Fishing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	FleaMarkets	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Gambling	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	GarageSales	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Movies	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Museums	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	MusicalTheater	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Opera	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Raves	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	RenaissanceFaires	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Shopping	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Travel	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Adventure	Volenteerism	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Aerobics	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Bicyling	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Camping	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Climbing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Dancing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Gymnastics	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Hiking	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	HorsebackRiding	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Hunting	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	MartialArts	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Pilates	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Rafting	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	RollerBlading	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Running	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Sailing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	ScubaDiving	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	SkateBoarding	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Snorkeling	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Surfing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Tai_Chi	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	UltimateFrisbee	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Walking	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	WeightTraining	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	WindSurfing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Athletics	Yoga	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	ArcadeGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	BoardGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	CardGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	Cartoons	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	Chess	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	ComedyShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	CookingShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	DanceTVShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	DramaTVShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	HistoryShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	HorrorMovies	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	MMORPGs	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	MurderMysteries	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	Newspapers	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	OnlineRPGs	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	PuzzleGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	RealityTV	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	RolePlayingGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	RomanceNovels	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	SciFi	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	SimulationGames	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	Sitcoms	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	SoapOperas	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	TalentShows	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	TrueCrime	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	Thrillers	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	TVNews	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Diversions	TVSports	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	AlternativeMedicine	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	AromaTherapy	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	ArtCollecting	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Beading	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	BodyArt	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	CandleMaking	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Cooking	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	CrossStitching	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Drawing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Gardening	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Herbalism	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Investing	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Karaoke	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Knitting	NULL	Guru	Expert	Advanced	Intermediate	Beginner	Want to Try																								
COMPATIBILITY	Hobbies	Meditation	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
COMPATIBILITY	Hobbies	Painting	NULL	Guru	Expert	Advanced	Intermediate	Tolerate it	Dislike it	Hate it	Hard Limit																						
